nRun,downloadTimeT2
1,37.0
2,46.809
3,42.727
4,38.277
5,39.651
6,38.285
7,38.465
8,39.411
9,38.287
10,38.827
11,39.122
12,39.126
13,39.142
14,39.271
15,39.118
16,39.15
17,39.322
18,44.127
19,40.367
20,39.382
21,38.252
22,40.616
23,37.939
24,39.265
25,39.452
26,39.238
27,39.11
28,40.958
29,43.338
30,39.112
31,39.138
32,39.059
33,38.811
34,38.773
35,39.311
36,39.227
37,39.211
38,39.223
39,38.821
40,41.171
41,38.465
42,38.962
43,38.142
44,39.063
45,39.271
46,37.271
47,38.834
48,38.254
49,39.29
50,45.945
51,36.81
52,47.98
53,39.338
54,38.551
55,40.543
56,43.011
57,38.279
58,42.282
59,39.128
60,38.262
61,39.12
62,39.384
63,39.265
64,39.76
65,39.002
66,38.938
67,38.393
68,39.049
69,39.658
70,39.199
71,39.263
72,39.294
73,37.199
74,38.256
75,39.124
76,39.358
77,41.841
78,39.467
79,41.052
80,39.223
81,36.981
82,39.384
83,38.841
84,41.434
85,38.578
86,42.856
87,39.108
88,42.125
89,39.338
90,38.485
91,39.294
92,37.925
93,39.31
94,38.938
95,38.555
96,38.617
97,39.24
98,38.723
99,38.972
100,37.919
101,43.037
102,45.882
103,41.645
104,38.495
105,37.924
106,46.237
107,37.922
108,46.935
109,38.964
110,38.487
111,41.221
112,39.114
113,36.998
114,41.247
115,38.897
116,46.955
117,39.603
118,40.899
119,39.143
120,42.051
121,36.973
122,39.171
123,38.393
124,43.937
125,47.982
126,38.848
127,39.24
128,39.776
129,48.665
130,39.123
131,42.576
132,39.721
133,41.237
134,38.617
135,39.35
136,38.493
137,39.345
138,38.932
139,48.052
140,39.126
141,41.726
142,45.047
143,38.897
144,38.244
145,40.097
146,39.221
147,37.019
148,38.457
149,39.112
150,39.364
151,44.648
152,39.232
153,40.448
154,39.24
155,39.246
156,39.163
157,39.106
158,39.128
159,39.271
160,39.128
161,39.145
162,39.082
163,39.302
164,36.999
165,41.558
166,39.271
167,44.503
168,46.832
169,40.393
170,42.629
171,39.607
172,46.034
173,39.374
174,39.487
175,38.848
176,39.114
177,38.493
178,38.946
179,39.242
180,39.28
181,38.246
182,38.902
183,40.989
184,37.913
185,40.193
186,38.578
187,38.731
188,37.924
189,38.132
190,40.856
191,39.077
192,39.277
193,39.302
194,42.067
195,36.861
196,40.497
197,36.871
198,39.285
199,39.629
200,37.008
201,39.005
202,38.934
203,38.591
204,38.826
205,39.104
206,38.4
207,38.457
208,43.652
209,38.834
210,39.171
211,38.25
212,37.247
213,38.773
214,39.356
215,39.12
216,43.016
217,38.153
218,39.128
219,47.044
220,42.751
221,40.662
222,38.449
223,39.096
224,38.586
225,39.315
226,48.004
227,39.413
228,42.593
229,39.364
230,41.018
231,38.664
232,46.376
233,39.114
234,39.301
235,39.35
236,38.465
237,38.576
238,42.727
239,42.459
240,44.088
241,39.603
242,39.108
243,38.696
244,39.348
245,39.311
246,39.338
247,44.269
248,39.147
249,37.275
250,38.926
251,36.983
252,37.928
253,37.929
254,42.323
255,39.115
256,39.126
257,38.105
258,39.315
259,38.547
260,42.902
261,38.14
262,39.292
263,36.995
264,39.358
265,38.293
266,39.071
267,39.444
268,48.138
269,39.302
270,39.169
271,39.106
272,44.712
273,38.285
274,38.393
275,38.291
276,39.14
277,38.285
278,39.385
279,39.077
280,39.385
281,39.114
282,39.238
283,36.863
284,41.385
285,39.115
286,38.944
287,39.195
288,40.586
289,44.526
290,39.599
291,39.067
292,37.031
293,36.975
294,39.211
295,39.364
296,39.271
297,38.4
298,47.773
299,38.641
300,38.559
301,39.263
302,39.294
303,41.987
304,39.24
305,42.717
306,36.997
307,38.449
308,38.73
309,39.008
310,39.263
311,38.555
312,38.277
313,39.33
314,47.857
315,38.848
316,37.933
317,38.609
318,39.128
319,38.961
320,39.221
321,36.999
322,38.841
323,39.118
324,39.077
325,40.274
326,39.242
327,36.806
328,38.957
329,38.555
330,39.803
331,38.449
332,40.884
333,40.114
334,41.016
335,39.385
336,38.696
337,39.681
338,40.48
339,37.001
340,39.114
341,37.927
342,39.35
343,39.274
344,45.423
345,36.991
346,40.14
347,39.264
348,36.991
349,38.897
