nRun,rxBytes
1,14300448
2,15728640
3,1836064
4,1675336
5,9988304
6,5626928
7,11013488
8,5432896
9,6329208
10,0
11,5115784
12,12464384
13,5266376
14,15728640
15,14384432
16,12619320
17,15728640
18,13402688
19,9611824
20,0
21,15728640
22,14064424
23,6524688
24,14477104
25,0
26,15728640
27,15728640
28,0
29,15528352
30,7409416
31,15728640
32,6889584
33,3349224
34,12616424
35,14800008
36,15728640
37,5432896
38,15728640
39,7742456
40,8016128
41,7725080
42,8792256
43,11308880
44,9148464
45,0
46,6846144
47,0
48,8869000
49,8844384
50,5292440
51,10854208
52,6757816
53,8760400
54,8079840
55,15047616
56,15728640
57,15728640
58,5438688
59,15728640
60,1621760
61,5393800
62,5569008
63,8929816
64,6959088
65,4047160
66,5215696
67,0
68,14954944
69,5936800
70,5030352
71,5367736
72,1455240
73,0
74,14149856
75,3249312
76,8831352
77,2894552
78,0
79,6620256
80,12619320
81,1891088
82,10655832
83,5477784
84,12348544
85,5241760
86,0
87,73848
88,1836064
89,15728640
90,15728640
91,15728640
92,5332984
93,13480880
94,6070016
95,15728640
96,0
97,9008008
98,5835440
99,15728640
100,4330968
101,15728640
102,8276768
103,7079272
104,9410552
105,3185600
106,15728640
107,11447888
108,12610632
109,11602824
110,7461544
111,12445560
112,9509016
113,9012352
114,10586328
115,9002216
116,13999264
117,13582240
118,6611568
119,11376936
120,5657336
121,4187616
122,9601688
123,7229864
124,9301952
125,0
126,5309816
127,0
128,12100936
129,0
130,3330400
131,6000512
132,7992960
133,11098920
134,13291192
135,15728640
136,3902360
137,9021040
138,15728640
139,4474320
140,4713240
141,15728640
142,9401864
143,15728640
144,15728640
145,9400416
146,3043696
147,0
148,6728856
149,7620824
150,15728640
151,9769656
152,12391984
153,11003352
154,0
155,14742088
156,0
157,8483832
158,0
159,11035208
160,9018144
161,15728640
162,0
163,6223504
164,11398656
165,6090288
166,5896256
167,8890720
168,7332672
169,9913008
170,10095456
171,15728640
172,15728640
173,6938816
174,11389968
175,7817752
176,9036968
177,12906024
178,10618184
179,10610944
180,15728640
181,0
182,15728640
183,15324184
184,12444112
185,15728640
186,6407400
187,15728640
188,15728640
189,15728640
190,15728640
191,6119248
192,8706824
193,8590984
194,15728640
195,15728640
196,9042760
197,3902360
198,8336136
199,10566056
200,15728640
201,12599048
202,12355784
203,8992080
204,10221432
205,9036968
206,5309816
207,15655776
208,15728640
209,6930128
210,11387072
211,12197952
212,15728640
213,15728640
214,8514240
215,15728640
216,7024248
217,5438688
218,7200904
219,10280800
220,15344456
221,3832856
222,0
223,12389088
224,7842368
225,6323416
226,5441584
227,15728640
